NAME,TIME,VALUE,CHUNK_PATH
cam-neumann,2026-02-11 17:02:44,6.000260000000026,20260211/chunk-stream0-1770796970354.m4s
cam-neumann,2026-02-11 17:02:50,6.002798999999982,20260211/chunk-stream0-1770796976365.m4s
cam-neumann,2026-02-11 17:02:56,5.997981999999979,20260211/chunk-stream0-1770796982378.m4s
cam-neumann,2026-02-11 17:03:02,6.008594000000016,20260211/chunk-stream0-1770796988401.m4s
cam-neumann,2026-02-11 17:03:08,5.992448999999965,20260211/chunk-stream0-1770796994435.m4s
cam-neumann,2026-02-11 17:03:14,5.9984380000000215,20260211/chunk-stream0-1770797000449.m4s
cam-neumann,2026-02-11 17:03:20,6.003906000000029,20260211/chunk-stream0-1770797006462.m4s
cam-neumann,2026-02-11 17:03:26,5.996679999999969,20260211/chunk-stream0-1770797012337.m4s
cam-neumann,2026-02-11 17:03:32,6.001041000000043,20260211/chunk-stream0-1770797018366.m4s
cam-neumann,2026-02-11 17:03:38,6.001367000000073,20260211/chunk-stream0-1770797024400.m4s
cam-neumann,2026-02-11 17:03:44,5.999414000000115,20260211/chunk-stream0-1770797030410.m4s
cam-neumann,2026-02-11 17:03:50,5.997591000000057,20260211/chunk-stream0-1770797036375.m4s
cam-neumann,2026-02-11 17:03:56,6.004556999999977,20260211/chunk-stream0-1770797042379.m4s
cam-neumann,2026-02-11 17:04:02,6.003060000000005,20260211/chunk-stream0-1770797048400.m4s
cam-neumann,2026-02-11 17:04:08,5.998698000000104,20260211/chunk-stream0-1770797054404.m4s
cam-neumann,2026-02-11 17:04:14,5.996876000000043,20260211/chunk-stream0-1770797060304.m4s
cam-neumann,2026-02-11 17:04:20,6.000911999999971,20260211/chunk-stream0-1770797066316.m4s
cam-neumann,2026-02-11 17:04:26,6.003320000000144,20260211/chunk-stream0-1770797072336.m4s
cam-neumann,2026-02-11 17:04:32,5.996614000000022,20260211/chunk-stream0-1770797078366.m4s
cam-neumann,2026-02-11 17:04:38,5.998828000000003,20260211/chunk-stream0-1770797084367.m4s
cam-neumann,2026-02-11 17:04:44,5.999739999999974,20260211/chunk-stream0-1770797090404.m4s
cam-neumann,2026-02-11 17:04:50,5.996745000000033,20260211/chunk-stream0-1770797096412.m4s
cam-neumann,2026-02-11 17:04:56,5.981055000000083,20260211/chunk-stream0-1770797102443.m4s
cam-neumann,2026-02-11 17:05:02,5.993360000000052,20260211/chunk-stream0-1770797108321.m4s
cam-neumann,2026-02-11 17:05:08,5.998568000000091,20260211/chunk-stream0-1770797114341.m4s
cam-neumann,2026-02-11 17:05:14,6.004233000000113,20260211/chunk-stream0-1770797120348.m4s
cam-neumann,2026-02-11 17:05:20,5.989714000000049,20260211/chunk-stream0-1770797126385.m4s
cam-neumann,2026-02-11 17:05:26,6.000260000000026,20260211/chunk-stream0-1770797132401.m4s
cam-neumann,2026-02-11 17:05:32,6.01432299999999,20260211/chunk-stream0-1770797138418.m4s
cam-neumann,2026-02-11 17:05:38,5.986652999999933,20260211/chunk-stream0-1770797144433.m4s
cam-neumann,2026-02-11 17:05:44,6.009245000000078,20260211/chunk-stream0-1770797150309.m4s
cam-neumann,2026-02-11 17:05:50,5.9884759999999915,20260211/chunk-stream0-1770797156349.m4s
cam-neumann,2026-02-11 17:05:56,6.000846000000024,20260211/chunk-stream0-1770797162363.m4s
cam-neumann,2026-02-11 17:06:02,6.00253900000007,20260211/chunk-stream0-1770797168378.m4s
cam-neumann,2026-02-11 17:06:08,5.998503000000028,20260211/chunk-stream0-1770797174382.m4s
cam-neumann,2026-02-11 17:06:14,5.999088000000029,20260211/chunk-stream0-1770797180413.m4s
cam-neumann,2026-02-11 17:06:20,5.998243000000116,20260211/chunk-stream0-1770797186437.m4s
cam-neumann,2026-02-11 17:06:26,6.0007810000000745,20260211/chunk-stream0-1770797192468.m4s
cam-neumann,2026-02-11 17:06:32,6.01074200000005,20260211/chunk-stream0-1770797198398.m4s
cam-neumann,2026-02-11 17:06:38,5.991667000000007,20260211/chunk-stream0-1770797204342.m4s
cam-neumann,2026-02-11 17:06:44,5.997722000000067,20260211/chunk-stream0-1770797210366.m4s
cam-neumann,2026-02-11 17:06:50,5.998958000000016,20260211/chunk-stream0-1770797216336.m4s
cam-neumann,2026-02-11 17:06:56,6.000717000000009,20260211/chunk-stream0-1770797222334.m4s
cam-neumann,2026-02-11 17:07:02,6.0044920000000275,20260211/chunk-stream0-1770797228366.m4s
cam-neumann,2026-02-11 17:07:08,6.00273500000003,20260211/chunk-stream0-1770797234382.m4s
cam-neumann,2026-02-11 17:07:14,5.993425000000002,20260211/chunk-stream0-1770797240404.m4s
cam-neumann,2026-02-11 17:07:20,5.998047999999926,20260211/chunk-stream0-1770797246431.m4s
cam-neumann,2026-02-11 17:07:26,6.007161999999994,20260211/chunk-stream0-1770797252305.m4s
cam-neumann,2026-02-11 17:07:32,5.994987000000037,20260211/chunk-stream0-1770797258321.m4s
cam-neumann,2026-02-11 17:07:38,5.999153999999976,20260211/chunk-stream0-1770797264342.m4s
cam-neumann,2026-02-11 17:07:44,6.004362000000015,20260211/chunk-stream0-1770797270377.m4s
cam-neumann,2026-02-11 17:07:50,5.997331000000031,20260211/chunk-stream0-1770797276399.m4s
cam-neumann,2026-02-11 17:07:56,6.000780999999961,20260211/chunk-stream0-1770797282397.m4s
cam-neumann,2026-02-11 17:08:02,6.000325999999973,20260211/chunk-stream0-1770797288417.m4s
cam-neumann,2026-02-11 17:08:08,5.99655000000007,20260211/chunk-stream0-1770797294439.m4s
cam-neumann,2026-02-11 17:08:14,6.002148000000034,20260211/chunk-stream0-1770797300333.m4s
cam-neumann,2026-02-11 17:08:20,5.996094000000085,20260211/chunk-stream0-1770797306362.m4s
cam-neumann,2026-02-11 17:08:26,6.0164060000000745,20260211/chunk-stream0-1770797312362.m4s
cam-neumann,2026-02-11 17:08:32,5.986003000000096,20260211/chunk-stream0-1770797318396.m4s
cam-neumann,2026-02-11 17:08:38,6.003646000000003,20260211/chunk-stream0-1770797324402.m4s
cam-neumann,2026-02-11 17:08:44,5.995962999999961,20260211/chunk-stream0-1770797330449.m4s
cam-neumann,2026-02-11 17:08:50,6.008919999999989,20260211/chunk-stream0-1770797336450.m4s
cam-neumann,2026-02-11 17:08:56,5.999675000000025,20260211/chunk-stream0-1770797342462.m4s
cam-neumann,2026-02-11 17:09:02,5.996159000000034,20260211/chunk-stream0-1770797348336.m4s
cam-neumann,2026-02-11 17:09:08,5.9952480000000605,20260211/chunk-stream0-1770797354369.m4s
cam-neumann,2026-02-11 17:09:14,6.005403000000001,20260211/chunk-stream0-1770797360399.m4s
cam-neumann,2026-02-11 17:09:20,5.996223999999984,20260211/chunk-stream0-1770797366409.m4s
cam-neumann,2026-02-11 17:09:26,6.00013100000001,20260211/chunk-stream0-1770797372360.m4s
cam-neumann,2026-02-11 17:09:32,6.000652000000059,20260211/chunk-stream0-1770797378377.m4s
cam-neumann,2026-02-11 17:09:38,5.999740000000088,20260211/chunk-stream0-1770797384387.m4s
cam-neumann,2026-02-11 17:09:44,6.001041999999984,20260211/chunk-stream0-1770797390404.m4s
cam-neumann,2026-02-11 17:09:50,5.99876299999994,20260211/chunk-stream0-1770797396297.m4s
cam-neumann,2026-02-11 17:09:56,5.999153999999976,20260211/chunk-stream0-1770797402312.m4s

